subject,condition,shank,positive_file_indices
D12_6,before-cocaine,0,"21,22,23,24,25,26,27,28,29"
D12_6,before-cocaine,1,"25,26,27,28,29"
D12_6,before-cocaine,2,"20,21,22,23,24,25,26,27,28,29"
D12_6,before-cocaine,3,"21,22,23,24,25,26,27,28,29"
D12_6,before-cocaine,7,"20,21,22,23,24,25,26,27,28,29"
D12_6,before-cocaine,9,"20,21,22,23,24,25,26,27,28,29"
D12_6,after-cocaine,0,"33,34,35,36,37,38"
D12_6,after-cocaine,1,"33,34,35,36,37,38"
D12_6,after-cocaine,2,"33,34,35,36,37,38,39"
D12_6,after-cocaine,3,"36,37,38,39"
D12_6,after-cocaine,7,"30,31,32,33,34,35,36,37,38,39"
D12_6,after-cocaine,9,"32,33,34,35,36,37,38,39"
D13_4,before-cocaine,0,"20,21,22,24"
D13_4,before-cocaine,1,"22,23,24,26"
D13_4,before-cocaine,2,"21,22,23,24"
D13_4,before-cocaine,3,"20,21,22,23,24,26,27,28,29"
D13_4,before-cocaine,5,"20,21,22,23,24,25,26,27,28,29"
D13_4,before-cocaine,6,"20,21,22,23,24,25,26,27,28,29"
D13_4,before-cocaine,7,"25,26,27,28,29"
D13_4,after-cocaine,0,"35,36,37,38"
D13_4,after-cocaine,1,"35,36,37,38,39"
D13_4,after-cocaine,2,"33,34,35,36,37,38,39"
D13_4,after-cocaine,3,"32,33,34,35,36,37,38,39"
D13_4,after-cocaine,5,"30,31,32,33,34,35,36,37,38,39"
D13_4,after-cocaine,6,"30,31,33,34,35,36,37,38,39"
D13_4,after-cocaine,7,"33,34,35,36,37,38,39"
D13_8,before-cocaine,0,"24,25,26,27,28,29"
D13_8,before-cocaine,1,"24,25,26,27,28,29"
D13_8,before-cocaine,2,"21,22,23,24,25,26,27,28,29"
D13_8,before-cocaine,3,"20,21,22,23,24,25,26,27,28,29"
D13_8,before-cocaine,4,"24,25,26,27,28,29"
D13_8,before-cocaine,5,"21,22,23,24,25,26,27,28,29"
D13_8,after-cocaine,0,"33,34,35,36,37,38,39"
D13_8,after-cocaine,1,"33,34,35,36,37,38,39"
D13_8,after-cocaine,2,"30,31,32,33,34,35,36,37,38,39"
D13_8,after-cocaine,3,"30,31,32,33,34,35,36,37,38,39"
D13_8,after-cocaine,4,"30,31,32,33,34,35,36,37,38,39"
D13_8,after-cocaine,5,"30,31,32,33,34,35,36,37,38,39"
D14_6,before-cocaine,0,"20,21,22,23,24,25,26,27,28,29"
D14_6,before-cocaine,1,"23,24,25,26,27,28,29"
D14_6,before-cocaine,2,"25,26,27,28,29"
D14_6,before-cocaine,3,"20,21,22,23,24,25"
D14_6,before-cocaine,4,"22,23,24,25,26,27,28,29"
D14_6,after-cocaine,0,"35,36,37,38"
D14_6,after-cocaine,1,"32,33,34,35,36,37,38,39"
D14_6,after-cocaine,2,"30,31,32,33,34,35"
D14_6,after-cocaine,3,"32,33,34,35,36"
D14_6,after-cocaine,4,"30,31,32,33,34,35"
